129,134,"섬유제품 염색, 정리 및 마무리 가공업",13,3
130,303,자동차 신품 부품 제조업,30,3
131,139,기타 섬유제품 제조업,13,3
132,143,편조의복 제조업,14,3
133,133,편조 원단 제조업,13,3
134,144,의복 액세서리 제조업,14,3
135,141,봉제의복 제조업,14,3
136,142,모피제품 제조업,14,3
137,151,"가죽, 가방 및 유사 제품 제조업",15,3
138,152,신발 및 신발 부분품 제조업,15,3
139,161,제재 및 목재 가공업,16,3
140,162,나무제품 제조업,16,3
141,163,코르크 및 조물 제품 제조업,16,3
142,171,"펄프, 종이 및 판지 제조업",17,3
143,179,"펄프, 종이 및 판지 제조업",17,3
144,172,"골판지, 종이 상자 및 종이 용기 제조업",17,3
145,179,기타 종이 및 판지 제품 제조업,17,3
146,181,인쇄 및 인쇄관련 산업,18,3
147,182,기록매체 복제업,18,3
148,191,코크스 및 연탄 제조업,19,3
149,192,석유 정제품 제조업,19,3
150,201,기초 화학물질 제조업,20,3
151,203,"비료, 농약 및 살균ㆍ살충제 제조업",20,3
152,202,합성고무 및 플라스틱 물질 제조업,20,3
153,204,기타 화학제품 제조업,20,3
154,212,의약품 제조업,21,3
155,211,기초 의약 물질 제조업,21,3
156,213,의료용품 및 기타 의약 관련제품 제조업,21,3
157,266,마그네틱 및 광학 매체 제조업,26,3
158,205,화학섬유 제조업,20,3
159,221,고무제품 제조업,22,3
160,222,플라스틱 제품 제조업,22,3
161,231,유리 및 유리제품 제조업,23,3
162,232,"내화, 비내화 요업제품 제조업",23,3
163,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",23,3
164,239,기타 비금속 광물제품 제조업,23,3
165,241,1차 철강 제조업,24,3
166,242,1차 비철금속 제조업,24,3
167,243,금속 주조업,24,3
168,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,3
169,259,기타 금속 가공제품 제조업,25,3
170,291,일반 목적용 기계 제조업,29,3
171,292,특수 목적용 기계 제조업,29,3
172,252,무기 및 총포탄 제조업,25,3
173,285,가정용 기기 제조업,28,3
174,263,컴퓨터 및 주변 장치 제조업,26,3
175,262,전자 부품 제조업,26,3
176,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",28,3
177,283,절연선 및 케이블 제조업,28,3
178,282,일차전지 및 이차전지 제조업,28,3
179,284,전구 및 조명장치 제조업,28,3
180,289,기타 전기장비 제조업,28,3
181,261,반도체 제조업,26,3
182,264,통신 및 방송장비 제조업,26,3
